rho/rho0,P(MeV/fm3)
2.003782148260212, 22.613551683156047
2.1580937972768535, 29.072326540447605
2.316944024205749, 37.07792771031498
2.5302571860816947, 52.53631057657066
2.757186081694403, 73.26122186080246
2.920574886535552, 85.52034484486735
3.120272314674735, 103.13831078234678
3.2836611195158856, 116.58140527043987
3.4334341906202726, 134.97849817167955
3.6875945537065054, 158.9935690580867
3.8464447806354016, 172.61763171921783
4.04160363086233, 193.61813579025338
4.223146747352496, 213.67338548268665
4.440998487140696, 235.8979131183076
4.599848714069592, 250.00010085241567
4.599848714069592, 179.71467445325501
4.604387291981846, 134.50256716220326
4.599848714069592, 106.49048702328696
4.595310136157337, 93.61503379694125
4.341149773071105, 88.95731797627663
4.145990922844176, 86.65274774740737
3.937216338880485, 81.06567488669528
3.7783661119515886, 74.0687309337461
3.63767019667171, 69.34369040757576
3.5015128593040847, 63.88621365854732
3.3472012102874436, 56.52495112610914
3.1974281391830566, 50.41861411442864
3.056732223903177, 45.33988699250678
2.90695915279879, 40.44186188090484
2.757186081694403, 36.07296578980192
2.6527987897125573, 32.97870952174325
2.55748865355522, 30.152809412085873
2.4349470499243573, 26.687564419101715
2.321482602118003, 22.874225725568365
2.2216338880484114, 20.41408216045854
2.1036308623298035, 18.362219822785956
1.9992435703479576, 16.51900873156005
2.003782148260212, 22.613551683156047
